# SampleRate: 250
# Created: 2026-06-09T14:38:41
Time,CH1,CH2,Marker,Valence,Arousal,TaskLabel
0.0000,7.66,7.06,,0.0,0.0,Normal
0.0040,6.09,6.92,,0.0,0.0,Normal
0.0080,3.04,4.48,,0.0,0.0,Normal
0.0120,4.68,4.25,,0.0,0.0,Normal
0.0160,5.54,4.71,,0.0,0.0,Normal
0.0200,1.83,1.46,,0.0,0.0,Normal
0.0240,-0.53,0.88,,0.0,0.0,Normal
0.0280,0.40,3.15,,0.0,0.0,Normal
0.0320,-0.08,2.31,,0.0,0.0,Normal
0.0360,-1.33,1.13,,0.0,0.0,Normal
0.0400,-0.84,2.11,,0.0,0.0,Normal
0.0440,-0.90,3.50,,0.0,0.0,Normal
0.0480,-0.65,2.90,,0.0,0.0,Normal
0.0520,0.52,2.28,,0.0,0.0,Normal
0.0560,0.57,3.46,,0.0,0.0,Normal
0.0600,0.10,3.81,,0.0,0.0,Normal
0.0640,-0.73,3.50,,0.0,0.0,Normal
0.0680,-0.60,2.25,,0.0,0.0,Normal
0.0720,1.77,0.89,,0.0,0.0,Normal
0.0760,4.35,1.48,,0.0,0.0,Normal
0.0800,5.11,3.08,,0.0,0.0,Normal
0.0840,4.42,6.36,,0.0,0.0,Normal
0.0880,4.98,8.48,,0.0,0.0,Normal
0.0920,5.98,7.34,,0.0,0.0,Normal
0.0960,6.62,6.97,,0.0,0.0,Normal
0.1000,7.68,7.58,,0.0,0.0,Normal
0.1040,5.02,5.97,,0.0,0.0,Normal
0.1080,-0.05,1.62,,0.0,0.0,Normal
0.1120,-1.35,-0.34,,0.0,0.0,Normal
0.1160,0.43,1.24,,0.0,0.0,Normal
0.1200,2.25,2.15,,0.0,0.0,Normal
0.1240,2.35,2.62,,0.0,0.0,Normal
0.1280,1.25,1.50,,0.0,0.0,Normal
0.1320,1.59,-0.12,,0.0,0.0,Normal
0.1360,2.88,0.42,,0.0,0.0,Normal
0.1400,3.31,1.10,,0.0,0.0,Normal
0.1440,4.12,2.25,,0.0,0.0,Normal
0.1480,4.68,2.17,,0.0,0.0,Normal
0.1520,3.36,0.88,,0.0,0.0,Normal
0.1560,5.28,3.06,,0.0,0.0,Normal
0.1600,9.95,6.79,,0.0,0.0,Normal
0.1640,8.91,6.96,,0.0,0.0,Normal
0.1680,5.73,3.84,,0.0,0.0,Normal
0.1720,6.56,2.56,,0.0,0.0,Normal
0.1760,6.57,1.93,,0.0,0.0,Normal
0.1800,3.81,-0.36,,0.0,0.0,Normal
0.1840,3.10,0.86,,0.0,0.0,Normal
0.1880,4.78,3.18,,0.0,0.0,Normal
0.1920,4.86,3.06,,0.0,0.0,Normal
0.1960,5.25,3.21,,0.0,0.0,Normal
0.2000,6.36,3.18,,0.0,0.0,Normal
0.2040,2.75,1.44,,0.0,0.0,Normal
0.2080,-1.01,-2.55,,0.0,0.0,Normal
0.2120,1.87,-4.01,,0.0,0.0,Normal
0.2160,6.14,-1.22,,0.0,0.0,Normal
0.2200,5.50,0.53,,0.0,0.0,Normal
0.2240,2.59,1.03,,0.0,0.0,Normal
0.2280,1.86,-1.16,,0.0,0.0,Normal
0.2320,1.03,-5.18,,0.0,0.0,Normal
