# SampleRate: 250
# Created: 2026-06-09T15:09:44
Time,CH1,CH2,Marker,Valence,Arousal,TaskLabel
0.0000,-0.08,-1.05,,0.0,0.0,Normal
0.0040,-1.08,0.27,,0.0,0.0,Normal
0.0080,0.58,4.07,,0.0,0.0,Normal
0.0120,1.90,4.70,,0.0,0.0,Normal
0.0160,0.97,1.86,,0.0,0.0,Normal
0.0200,1.13,-0.27,,0.0,0.0,Normal
0.0240,2.03,-0.08,,0.0,0.0,Normal
0.0280,1.33,0.58,,0.0,0.0,Normal
0.0320,0.52,1.05,,0.0,0.0,Normal
0.0360,1.66,2.14,,0.0,0.0,Normal
0.0400,2.01,2.32,,0.0,0.0,Normal
0.0440,0.06,2.65,,0.0,0.0,Normal
0.0480,0.16,4.82,,0.0,0.0,Normal
0.0520,2.87,7.15,,0.0,0.0,Normal
0.0560,5.48,8.93,,0.0,0.0,Normal
0.0600,5.77,8.31,,0.0,0.0,Normal
0.0640,0.43,4.27,,0.0,0.0,Normal
0.0680,-5.40,2.15,,0.0,0.0,Normal
0.0720,-3.82,4.62,,0.0,0.0,Normal
0.0760,0.40,5.73,,0.0,0.0,Normal
0.0800,0.59,3.30,,0.0,0.0,Normal
0.0840,-1.64,2.29,,0.0,0.0,Normal
0.0880,-4.21,1.58,,0.0,0.0,Normal
0.0920,-6.94,-1.41,,0.0,0.0,Normal
0.0960,-7.25,-3.59,,0.0,0.0,Normal
0.1000,-5.29,-4.78,,0.0,0.0,Normal
0.1040,-5.31,-4.96,,0.0,0.0,Normal
0.1080,-5.64,-2.23,,0.0,0.0,Normal
0.1120,-2.43,1.83,,0.0,0.0,Normal
0.1160,1.26,3.70,,0.0,0.0,Normal
0.1200,-0.13,0.67,,0.0,0.0,Normal
0.1240,-5.07,-4.45,,0.0,0.0,Normal
0.1280,-6.32,-5.82,,0.0,0.0,Normal
0.1320,-6.06,-6.15,,0.0,0.0,Normal
0.1360,-9.51,-11.05,,0.0,0.0,Normal
0.1400,-11.45,-16.55,,0.0,0.0,Normal
0.1440,-9.60,-18.10,,0.0,0.0,Normal
0.1480,-7.47,-17.60,,0.0,0.0,Normal
0.1520,-5.97,-15.62,,0.0,0.0,Normal
0.1560,-6.66,-14.87,,0.0,0.0,Normal
0.1600,-8.36,-17.12,,0.0,0.0,Normal
0.1640,-7.72,-15.78,,0.0,0.0,Normal
0.1680,-6.68,-10.14,,0.0,0.0,Normal
0.1720,-7.11,-6.79,,0.0,0.0,Normal
0.1760,-7.06,-7.15,,0.0,0.0,Normal
0.1800,-6.52,-7.51,,0.0,0.0,Normal
0.1840,-5.64,-3.15,,0.0,0.0,Normal
0.1880,-2.31,4.65,,0.0,0.0,Normal
0.1920,1.87,10.09,,0.0,0.0,Normal
0.1960,3.60,10.10,,0.0,0.0,Normal
0.2000,2.39,5.21,,0.0,0.0,Normal
0.2040,2.91,1.37,,0.0,0.0,Normal
0.2080,10.60,4.34,,0.0,0.0,Normal
0.2120,16.73,9.65,,0.0,0.0,Normal
0.2160,12.37,8.37,,0.0,0.0,Normal
0.2200,6.53,2.02,,0.0,0.0,Normal
0.2240,5.85,0.81,,0.0,0.0,Normal
0.2280,6.22,5.46,,0.0,0.0,Normal
0.2320,5.70,8.94,,0.0,0.0,Normal
0.2360,6.80,11.37,,0.0,0.0,Normal
0.2400,9.45,14.49,,0.0,0.0,Normal
0.2440,8.91,15.94,,0.0,0.0,Normal
0.2480,7.36,17.53,,0.0,0.0,Normal
0.2520,11.06,21.23,,0.0,0.0,Normal
0.2560,13.89,19.61,,0.0,0.0,Normal
0.2600,8.13,9.99,,0.0,0.0,Normal
0.2640,2.20,3.22,,0.0,0.0,Normal
0.2680,2.47,1.83,,0.0,0.0,Normal
0.2720,-0.20,-1.92,,0.0,0.0,Normal
0.2760,-3.97,-6.22,,0.0,0.0,Normal
0.2800,-0.69,-6.49,,0.0,0.0,Normal
0.2840,-0.09,-6.98,,0.0,0.0,Normal
0.2880,-5.41,-10.42,,0.0,0.0,Normal
0.2920,-7.16,-14.07,,0.0,0.0,Normal
0.2960,-7.05,-17.77,,0.0,0.0,Normal
0.3000,-9.25,-20.22,,0.0,0.0,Normal
0.3040,-10.60,-17.53,,0.0,0.0,Normal
0.3080,-9.96,-13.62,,0.0,0.0,Normal
0.3120,-8.27,-12.00,,0.0,0.0,Normal
0.3160,-4.43,-8.43,,0.0,0.0,Normal
0.3200,0.19,-3.93,,0.0,0.0,Normal
0.3240,1.70,-3.20,,0.0,0.0,Normal
0.3280,0.59,-4.47,,0.0,0.0,Normal
0.3320,0.23,-4.11,,0.0,0.0,Normal
0.3360,1.69,-3.62,,0.0,0.0,Normal
0.3400,3.34,-4.70,,0.0,0.0,Normal
0.3440,3.99,-3.81,,0.0,0.0,Normal
0.3480,4.43,-0.22,,0.0,0.0,Normal
0.3520,5.53,2.38,,0.0,0.0,Normal
0.3560,7.71,2.85,,0.0,0.0,Normal
0.3600,8.96,2.44,,0.0,0.0,Normal
0.3640,8.37,3.87,,0.0,0.0,Normal
0.3680,10.33,9.30,,0.0,0.0,Normal
0.3720,13.11,14.58,,0.0,0.0,Normal
0.3760,9.87,11.96,,0.0,0.0,Normal
0.3800,4.16,6.02,,0.0,0.0,Normal
0.3840,3.13,7.10,,0.0,0.0,Normal
0.3880,4.99,10.54,,0.0,0.0,Normal
0.3920,7.26,11.27,,0.0,0.0,Normal
0.3960,9.80,10.99,,0.0,0.0,Normal
0.4000,8.26,7.67,,0.0,0.0,Normal
0.4040,4.11,4.47,,0.0,0.0,Normal
0.4080,2.37,3.74,,0.0,0.0,Normal
0.4120,-0.28,1.14,,0.0,0.0,Normal
0.4160,-1.93,-2.32,,0.0,0.0,Normal
0.4200,-0.54,-5.70,,0.0,0.0,Normal
0.4240,-3.37,-10.34,,0.0,0.0,Normal
0.4280,-6.92,-12.20,,0.0,0.0,Normal
0.4320,-5.30,-9.78,,0.0,0.0,Normal
0.4360,-3.74,-9.12,,0.0,0.0,Normal
0.4400,-2.79,-10.48,,0.0,0.0,Normal
0.4440,-1.28,-10.07,,0.0,0.0,Normal
0.4480,-1.85,-11.27,,0.0,0.0,Normal
0.4520,-1.28,-13.06,,0.0,0.0,Normal
0.4560,2.76,-12.74,,0.0,0.0,Normal
0.4600,4.49,-13.27,,0.0,0.0,Normal
0.4640,1.16,-11.99,,0.0,0.0,Normal
0.4680,-2.92,-9.60,,0.0,0.0,Normal
0.4720,-4.73,-11.36,,0.0,0.0,Normal
