# SampleRate: 250
# Created: 2026-06-09T15:04:12
Time,CH1,CH2,Marker,Valence,Arousal,TaskLabel
0.0000,-18.13,-21.57,,0.0,0.0,Normal
0.0040,-13.39,-16.18,,0.0,0.0,Normal
0.0080,-13.03,-13.64,,0.0,0.0,Normal
0.0120,-17.49,-18.74,,0.0,0.0,Normal
0.0160,-19.96,-21.81,,0.0,0.0,Normal
0.0200,-20.57,-20.28,,0.0,0.0,Normal
0.0240,-20.99,-18.60,,0.0,0.0,Normal
0.0280,-18.10,-16.02,,0.0,0.0,Normal
0.0320,-15.60,-13.78,,0.0,0.0,Normal
0.0360,-15.88,-13.82,,0.0,0.0,Normal
0.0400,-13.19,-12.83,,0.0,0.0,Normal
0.0440,-9.44,-9.93,,0.0,0.0,Normal
0.0480,-9.06,-7.85,,0.0,0.0,Normal
0.0520,-7.69,-5.76,,0.0,0.0,Normal
0.0560,-4.36,-4.04,,0.0,0.0,Normal
0.0600,-5.56,-6.68,,0.0,0.0,Normal
0.0640,-10.86,-10.69,,0.0,0.0,Normal
0.0680,-13.65,-11.71,,0.0,0.0,Normal
0.0720,-14.82,-12.76,,0.0,0.0,Normal
0.0760,-17.23,-15.15,,0.0,0.0,Normal
0.0800,-16.85,-15.14,,0.0,0.0,Normal
0.0840,-13.98,-12.00,,0.0,0.0,Normal
0.0880,-13.47,-9.53,,0.0,0.0,Normal
0.0920,-13.34,-10.02,,0.0,0.0,Normal
0.0960,-12.31,-13.31,,0.0,0.0,Normal
0.1000,-12.05,-14.91,,0.0,0.0,Normal
0.1040,-12.37,-12.40,,0.0,0.0,Normal
0.1080,-15.67,-12.75,,0.0,0.0,Normal
0.1120,-18.70,-14.67,,0.0,0.0,Normal
0.1160,-14.68,-11.96,,0.0,0.0,Normal
0.1200,-9.54,-9.34,,0.0,0.0,Normal
0.1240,-8.25,-6.46,,0.0,0.0,Normal
0.1280,-5.04,-1.12,,0.0,0.0,Normal
0.1320,-1.93,-1.65,,0.0,0.0,Normal
0.1360,-3.87,-7.78,,0.0,0.0,Normal
0.1400,-5.08,-8.59,,0.0,0.0,Normal
0.1440,-2.66,-3.41,,0.0,0.0,Normal
0.1480,-1.13,0.36,,0.0,0.0,Normal
0.1520,-2.12,-0.45,,0.0,0.0,Normal
0.1560,-2.27,-3.35,,0.0,0.0,Normal
0.1600,0.79,-2.17,,0.0,0.0,Normal
0.1640,2.66,2.16,,0.0,0.0,Normal
0.1680,1.42,2.83,,0.0,0.0,Normal
0.1720,1.88,1.82,,0.0,0.0,Normal
0.1760,3.83,1.59,,0.0,0.0,Normal
0.1800,4.55,1.68,,0.0,0.0,Normal
0.1840,7.62,7.23,,0.0,0.0,Normal
0.1880,12.86,16.30,,0.0,0.0,Normal
0.1920,13.52,19.62,,0.0,0.0,Normal
0.1960,10.63,17.39,,0.0,0.0,Normal
0.2000,7.56,13.61,,0.0,0.0,Normal
0.2040,2.48,9.98,,0.0,0.0,Normal
0.2080,0.18,10.39,,0.0,0.0,Normal
0.2120,2.38,12.85,,0.0,0.0,Normal
0.2160,2.86,12.09,,0.0,0.0,Normal
0.2200,5.45,12.81,,0.0,0.0,Normal
0.2240,10.91,17.23,,0.0,0.0,Normal
0.2280,10.34,18.51,,0.0,0.0,Normal
0.2320,7.94,18.15,,0.0,0.0,Normal
0.2360,12.83,21.08,,0.0,0.0,Normal
0.2400,16.11,21.97,,0.0,0.0,Normal
0.2440,8.55,17.38,,0.0,0.0,Normal
0.2480,0.19,11.27,,0.0,0.0,Normal
0.2520,-2.58,5.75,,0.0,0.0,Normal
0.2560,-3.32,3.23,,0.0,0.0,Normal
0.2600,0.03,6.08,,0.0,0.0,Normal
0.2640,5.56,10.57,,0.0,0.0,Normal
0.2680,7.70,12.08,,0.0,0.0,Normal
0.2720,7.27,10.18,,0.0,0.0,Normal
