# SampleRate: 250
# Created: 2026-06-09T14:59:46
Time,CH1,CH2,Marker,Valence,Arousal,TaskLabel
0.0000,-15.38,-23.36,,0.0,0.0,Normal
0.0040,-9.60,-19.08,,0.0,0.0,Normal
0.0080,-8.16,-15.47,,0.0,0.0,Normal
0.0120,-9.07,-13.70,,0.0,0.0,Normal
0.0160,-7.23,-12.54,,0.0,0.0,Normal
0.0200,-6.41,-14.06,,0.0,0.0,Normal
0.0240,-8.18,-16.20,,0.0,0.0,Normal
0.0280,-8.96,-13.48,,0.0,0.0,Normal
0.0320,-7.79,-10.93,,0.0,0.0,Normal
0.0360,-8.05,-13.81,,0.0,0.0,Normal
0.0400,-8.81,-17.97,,0.0,0.0,Normal
0.0440,-5.96,-18.18,,0.0,0.0,Normal
0.0480,-2.18,-14.71,,0.0,0.0,Normal
0.0520,-0.43,-11.88,,0.0,0.0,Normal
0.0560,0.23,-10.56,,0.0,0.0,Normal
0.0600,0.61,-9.91,,0.0,0.0,Normal
0.0640,2.13,-8.49,,0.0,0.0,Normal
0.0680,4.70,-5.16,,0.0,0.0,Normal
0.0720,6.58,-3.64,,0.0,0.0,Normal
0.0760,6.18,-5.32,,0.0,0.0,Normal
0.0800,4.88,-7.65,,0.0,0.0,Normal
0.0840,4.82,-8.16,,0.0,0.0,Normal
0.0880,3.40,-6.89,,0.0,0.0,Normal
0.0920,2.04,-5.30,,0.0,0.0,Normal
0.0960,4.34,-2.10,,0.0,0.0,Normal
0.1000,4.21,-1.77,,0.0,0.0,Normal
0.1040,-1.27,-6.24,,0.0,0.0,Normal
0.1080,-4.35,-6.72,,0.0,0.0,Normal
0.1120,-2.97,-3.71,,0.0,0.0,Normal
0.1160,-1.43,-4.17,,0.0,0.0,Normal
0.1200,-0.76,-7.80,,0.0,0.0,Normal
0.1240,-2.48,-10.44,,0.0,0.0,Normal
0.1280,-6.97,-9.85,,0.0,0.0,Normal
0.1320,-11.32,-9.97,,0.0,0.0,Normal
0.1360,-12.95,-12.51,,0.0,0.0,Normal
0.1400,-10.24,-13.86,,0.0,0.0,Normal
0.1440,-7.76,-12.88,,0.0,0.0,Normal
0.1480,-8.60,-9.92,,0.0,0.0,Normal
0.1520,-7.52,-6.58,,0.0,0.0,Normal
0.1560,-3.92,-5.26,,0.0,0.0,Normal
0.1600,-0.94,-4.87,,0.0,0.0,Normal
0.1640,-0.16,-3.15,,0.0,0.0,Normal
0.1680,-1.58,-1.00,,0.0,0.0,Normal
0.1720,-0.36,0.70,,0.0,0.0,Normal
0.1760,3.32,1.20,,0.0,0.0,Normal
0.1800,4.13,-1.56,,0.0,0.0,Normal
0.1840,3.55,-2.59,,0.0,0.0,Normal
0.1880,4.85,2.19,,0.0,0.0,Normal
0.1920,6.31,5.92,,0.0,0.0,Normal
0.1960,6.58,5.08,,0.0,0.0,Normal
0.2000,7.91,2.76,,0.0,0.0,Normal
0.2040,10.45,2.96,,0.0,0.0,Normal
0.2080,9.89,6.77,,0.0,0.0,Normal
0.2120,5.27,8.62,,0.0,0.0,Normal
0.2160,2.43,6.16,,0.0,0.0,Normal
0.2200,4.85,4.49,,0.0,0.0,Normal
0.2240,6.60,6.42,,0.0,0.0,Normal
0.2280,4.02,8.46,,0.0,0.0,Normal
0.2320,2.30,7.57,,0.0,0.0,Normal
0.2360,2.59,5.79,,0.0,0.0,Normal
0.2400,2.39,4.51,,0.0,0.0,Normal
0.2440,1.25,4.40,,0.0,0.0,Normal
0.2480,-1.48,6.72,,0.0,0.0,Normal
0.2520,-1.25,8.83,,0.0,0.0,Normal
0.2560,5.17,8.97,,0.0,0.0,Normal
0.2600,9.77,9.70,,0.0,0.0,Normal
0.2640,8.68,11.71,,0.0,0.0,Normal
0.2680,9.87,13.76,,0.0,0.0,Normal
0.2720,13.26,17.24,,0.0,0.0,Normal
0.2760,10.49,20.71,,0.0,0.0,Normal
0.2800,5.26,16.76,,0.0,0.0,Normal
0.2840,2.97,9.74,,0.0,0.0,Normal
0.2880,1.76,12.57,,0.0,0.0,Normal
0.2920,5.02,20.00,,0.0,0.0,Normal
0.2960,11.93,21.76,,0.0,0.0,Normal
0.3000,13.86,20.28,,0.0,0.0,Normal
0.3040,13.28,20.42,,0.0,0.0,Normal
0.3080,15.03,23.65,,0.0,0.0,Normal
0.3120,12.42,22.56,,0.0,0.0,Normal
0.3160,8.91,15.74,,0.0,0.0,Normal
0.3200,14.10,16.93,,0.0,0.0,Normal
0.3240,17.34,23.54,,0.0,0.0,Normal
0.3280,12.73,23.57,,0.0,0.0,Normal
0.3320,10.00,19.06,,0.0,0.0,Normal
0.3360,8.85,11.04,,0.0,0.0,Normal
0.3400,6.86,3.96,,0.0,0.0,Normal
0.3440,4.89,8.88,,0.0,0.0,Normal
0.3480,6.64,23.41,,0.0,0.0,Normal
0.3520,20.90,40.32,,0.0,0.0,Normal
0.3560,32.86,46.71,,0.0,0.0,Normal
0.3600,27.09,35.65,,0.0,0.0,Normal
0.3640,24.40,37.49,,0.0,0.0,Normal
0.3680,26.58,48.31,,0.0,0.0,Normal
0.3720,16.53,33.12,,0.0,0.0,Normal
0.3760,10.76,23.72,,0.0,0.0,Normal
0.3800,17.22,35.73,,0.0,0.0,Normal
0.3840,20.33,37.76,,0.0,0.0,Normal
0.3880,20.57,42.40,,0.0,0.0,Normal
0.3920,18.83,51.69,,0.0,0.0,Normal
0.3960,11.05,42.86,,0.0,0.0,Normal
0.4000,3.53,28.17,,0.0,0.0,Normal
0.4040,-3.77,17.61,,0.0,0.0,Normal
0.4080,-14.23,12.45,,0.0,0.0,Normal
0.4120,-17.55,18.48,,0.0,0.0,Normal
0.4160,-8.83,25.66,,0.0,0.0,Normal
0.4200,-4.24,29.33,,0.0,0.0,Normal
0.4240,-11.52,33.55,,0.0,0.0,Normal
0.4280,-16.74,34.84,,0.0,0.0,Normal
0.4320,-18.94,29.42,,0.0,0.0,Normal
0.4360,-29.76,22.27,,0.0,0.0,Normal
0.4400,-49.21,12.70,,0.0,0.0,Normal
0.4440,-52.39,12.19,,0.0,0.0,Normal
0.4480,-12.28,62.92,,0.0,0.0,Normal
0.4520,25.21,120.84,,0.0,0.0,Normal
0.4560,12.10,104.11,,0.0,0.0,Normal
0.4600,-6.95,68.11,,0.0,0.0,Normal
0.4640,-11.11,68.58,,0.0,0.0,Normal
0.4680,-30.03,64.00,,0.0,0.0,Normal
0.4720,-44.14,53.36,,0.0,0.0,Normal
0.4760,-26.23,60.24,,0.0,0.0,Normal
0.4800,-4.58,64.46,,0.0,0.0,Normal
0.4840,-4.47,69.24,,0.0,0.0,Normal
0.4880,-12.04,80.45,,0.0,0.0,Normal
0.4920,-18.86,69.69,,0.0,0.0,Normal
