# SampleRate: 250
# Created: 2026-06-09T14:56:25
Time,CH1,CH2,Marker,Valence,Arousal,TaskLabel
0.0000,-37.60,-104.33,,0.0,0.0,Normal
0.0040,50.82,63.16,,0.0,0.0,Normal
0.0080,110.63,127.29,,0.0,0.0,Normal
0.0120,56.50,-40.24,,0.0,0.0,Normal
0.0160,9.32,-87.62,,0.0,0.0,Normal
0.0200,14.29,11.99,,0.0,0.0,Normal
0.0240,24.47,57.53,,0.0,0.0,Normal
0.0280,21.34,63.01,,0.0,0.0,Normal
0.0320,6.46,89.45,,0.0,0.0,Normal
0.0360,4.17,71.50,,0.0,0.0,Normal
0.0400,20.18,-38.18,,0.0,0.0,Normal
0.0440,34.25,-39.10,,0.0,0.0,Normal
0.0480,18.71,65.92,,0.0,0.0,Normal
0.0520,-0.79,8.26,,0.0,0.0,Normal
0.0560,34.98,-25.00,,0.0,0.0,Normal
0.0600,43.89,99.63,,0.0,0.0,Normal
0.0640,-13.56,75.45,,0.0,0.0,Normal
0.0680,-12.96,-56.18,,0.0,0.0,Normal
0.0720,3.04,-107.30,,0.0,0.0,Normal
0.0760,-40.61,-77.81,,0.0,0.0,Normal
0.0800,-41.90,26.14,,0.0,0.0,Normal
0.0840,-3.62,45.32,,0.0,0.0,Normal
0.0880,-0.41,-33.87,,0.0,0.0,Normal
0.0920,-2.75,-42.05,,0.0,0.0,Normal
0.0960,12.06,37.96,,0.0,0.0,Normal
0.1000,22.20,139.24,,0.0,0.0,Normal
0.1040,12.33,84.05,,0.0,0.0,Normal
0.1080,-13.52,-117.28,,0.0,0.0,Normal
0.1120,-27.10,-102.03,,0.0,0.0,Normal
0.1160,-11.85,87.55,,0.0,0.0,Normal
0.1200,2.82,50.63,,0.0,0.0,Normal
0.1240,3.79,-64.97,,0.0,0.0,Normal
0.1280,-6.19,-19.90,,0.0,0.0,Normal
0.1320,-37.18,-0.90,,0.0,0.0,Normal
0.1360,-34.63,5.11,,0.0,0.0,Normal
0.1400,1.50,37.58,,0.0,0.0,Normal
0.1440,-7.97,-26.37,,0.0,0.0,Normal
0.1480,-10.25,-19.79,,0.0,0.0,Normal
0.1520,30.50,104.88,,0.0,0.0,Normal
0.1560,27.70,74.91,,0.0,0.0,Normal
0.1600,-15.70,-78.24,,0.0,0.0,Normal
0.1640,-32.82,-58.07,,0.0,0.0,Normal
0.1680,-15.00,90.88,,0.0,0.0,Normal
0.1720,-8.59,48.71,,0.0,0.0,Normal
0.1760,-44.55,-141.61,,0.0,0.0,Normal
0.1800,-59.44,-144.42,,0.0,0.0,Normal
0.1840,-47.02,13.61,,0.0,0.0,Normal
0.1880,-47.19,68.35,,0.0,0.0,Normal
0.1920,9.58,32.15,,0.0,0.0,Normal
0.1960,48.84,12.71,,0.0,0.0,Normal
0.2000,-26.92,14.08,,0.0,0.0,Normal
0.2040,-31.96,63.81,,0.0,0.0,Normal
0.2080,31.95,58.68,,0.0,0.0,Normal
0.2120,-39.38,-82.86,,0.0,0.0,Normal
0.2160,-89.92,-135.17,,0.0,0.0,Normal
0.2200,24.54,-9.80,,0.0,0.0,Normal
0.2240,64.37,89.54,,0.0,0.0,Normal
0.2280,-26.11,78.87,,0.0,0.0,Normal
0.2320,-32.35,28.02,,0.0,0.0,Normal
0.2360,0.23,-37.10,,0.0,0.0,Normal
0.2400,-48.98,-83.68,,0.0,0.0,Normal
0.2440,-55.37,-22.83,,0.0,0.0,Normal
0.2480,-4.74,42.67,,0.0,0.0,Normal
0.2520,5.67,6.87,,0.0,0.0,Normal
0.2560,14.44,36.36,,0.0,0.0,Normal
0.2600,3.74,75.59,,0.0,0.0,Normal
0.2640,-41.98,-27.58,,0.0,0.0,Normal
0.2680,-31.67,-69.56,,0.0,0.0,Normal
0.2720,15.58,27.35,,0.0,0.0,Normal
0.2760,26.53,100.24,,0.0,0.0,Normal
0.2800,2.98,43.68,,0.0,0.0,Normal
0.2840,-43.09,-93.95,,0.0,0.0,Normal
0.2880,-62.41,-118.30,,0.0,0.0,Normal
0.2920,-16.77,-57.93,,0.0,0.0,Normal
0.2960,16.32,0.43,,0.0,0.0,Normal
0.3000,-0.45,130.06,,0.0,0.0,Normal
0.3040,10.90,145.88,,0.0,0.0,Normal
0.3080,17.55,-41.82,,0.0,0.0,Normal
0.3120,-59.33,-143.93,,0.0,0.0,Normal
0.3160,-63.55,-45.65,,0.0,0.0,Normal
0.3200,55.63,99.55,,0.0,0.0,Normal
0.3240,50.80,92.79,,0.0,0.0,Normal
0.3280,-32.45,-24.13,,0.0,0.0,Normal
0.3320,5.19,-5.27,,0.0,0.0,Normal
0.3360,15.28,52.09,,0.0,0.0,Normal
0.3400,-41.95,-16.09,,0.0,0.0,Normal
0.3440,-1.34,-38.80,,0.0,0.0,Normal
0.3480,39.54,-23.38,,0.0,0.0,Normal
0.3520,-6.85,-8.83,,0.0,0.0,Normal
0.3560,4.85,120.45,,0.0,0.0,Normal
0.3600,38.87,89.92,,0.0,0.0,Normal
0.3640,-29.41,-129.62,,0.0,0.0,Normal
0.3680,-47.89,-67.57,,0.0,0.0,Normal
0.3720,50.57,146.67,,0.0,0.0,Normal
0.3760,48.46,103.15,,0.0,0.0,Normal
0.3800,-38.39,-44.15,,0.0,0.0,Normal
0.3840,-20.10,-39.21,,0.0,0.0,Normal
0.3880,12.82,37.23,,0.0,0.0,Normal
0.3920,1.06,46.20,,0.0,0.0,Normal
0.3960,53.06,38.72,,0.0,0.0,Normal
0.4000,60.70,17.74,,0.0,0.0,Normal
0.4040,-45.71,-69.59,,0.0,0.0,Normal
0.4080,-66.14,-73.61,,0.0,0.0,Normal
0.4120,11.04,10.06,,0.0,0.0,Normal
0.4160,36.10,26.58,,0.0,0.0,Normal
0.4200,19.84,11.53,,0.0,0.0,Normal
0.4240,-10.35,-16.81,,0.0,0.0,Normal
0.4280,-31.28,-20.96,,0.0,0.0,Normal
0.4320,-11.42,47.39,,0.0,0.0,Normal
0.4360,-1.37,39.66,,0.0,0.0,Normal
0.4400,5.40,-20.35,,0.0,0.0,Normal
0.4440,28.62,15.38,,0.0,0.0,Normal
0.4480,7.43,26.13,,0.0,0.0,Normal
0.4520,-30.51,-51.83,,0.0,0.0,Normal
0.4560,-23.42,-74.30,,0.0,0.0,Normal
0.4600,17.79,7.27,,0.0,0.0,Normal
0.4640,64.47,91.20,,0.0,0.0,Normal
0.4680,51.77,83.62,,0.0,0.0,Normal
0.4720,5.42,42.13,,0.0,0.0,Normal
0.4760,1.37,12.00,,0.0,0.0,Normal
0.4800,-7.91,-36.39,,0.0,0.0,Normal
0.4840,-15.33,-60.70,,0.0,0.0,Normal
0.4880,7.08,-63.19,,0.0,0.0,Normal
0.4920,9.21,-15.41,,0.0,0.0,Normal
0.4960,16.90,84.82,,0.0,0.0,Normal
0.5000,35.26,63.12,,0.0,0.0,Normal
0.5040,21.86,-8.74,,0.0,0.0,Normal
0.5080,9.28,31.79,,0.0,0.0,Normal
0.5120,-5.44,0.16,,0.0,0.0,Normal
0.5160,-21.60,-108.36,,0.0,0.0,Normal
0.5200,7.79,-41.33,,0.0,0.0,Normal
0.5240,31.03,70.47,,0.0,0.0,Normal
0.5280,30.83,41.54,,0.0,0.0,Normal
0.5320,34.42,16.39,,0.0,0.0,Normal
0.5360,-16.47,-17.07,,0.0,0.0,Normal
0.5400,-61.20,-84.00,,0.0,0.0,Normal
0.5440,-1.71,8.21,,0.0,0.0,Normal
0.5480,62.51,147.18,,0.0,0.0,Normal
0.5520,43.90,82.72,,0.0,0.0,Normal
0.5560,-17.78,-103.53,,0.0,0.0,Normal
0.5600,-45.77,-157.41,,0.0,0.0,Normal
0.5640,1.93,15.86,,0.0,0.0,Normal
0.5680,42.53,105.05,,0.0,0.0,Normal
0.5720,20.02,-27.01,,0.0,0.0,Normal
0.5760,12.14,13.59,,0.0,0.0,Normal
0.5800,18.57,119.95,,0.0,0.0,Normal
0.5840,-9.31,-62.92,,0.0,0.0,Normal
0.5880,-28.82,-146.33,,0.0,0.0,Normal
0.5920,-32.48,19.32,,0.0,0.0,Normal
0.5960,-22.92,16.48,,0.0,0.0,Normal
0.6000,23.96,-76.56,,0.0,0.0,Normal
0.6040,45.24,29.26,,0.0,0.0,Normal
0.6080,20.43,148.84,,0.0,0.0,Normal
0.6120,27.51,82.76,,0.0,0.0,Normal
0.6160,35.17,-43.28,,0.0,0.0,Normal
0.6200,-27.21,-83.99,,0.0,0.0,Normal
0.6240,-71.22,-28.73,,0.0,0.0,Normal
0.6280,-20.90,21.26,,0.0,0.0,Normal
0.6320,33.73,-5.14,,0.0,0.0,Normal
0.6360,17.00,-22.93,,0.0,0.0,Normal
0.6400,-9.34,34.61,,0.0,0.0,Normal
0.6440,7.82,72.97,,0.0,0.0,Normal
0.6480,14.48,-3.73,,0.0,0.0,Normal
0.6520,-15.51,-99.86,,0.0,0.0,Normal
0.6560,-52.81,-95.68,,0.0,0.0,Normal
0.6600,-59.09,-35.71,,0.0,0.0,Normal
0.6640,6.50,18.16,,0.0,0.0,Normal
0.6680,61.28,47.79,,0.0,0.0,Normal
0.6720,28.80,39.03,,0.0,0.0,Normal
0.6760,-19.34,1.02,,0.0,0.0,Normal
0.6800,-34.42,-50.27,,0.0,0.0,Normal
0.6840,16.21,-34.11,,0.0,0.0,Normal
0.6880,63.59,70.64,,0.0,0.0,Normal
0.6920,-21.26,48.07,,0.0,0.0,Normal
0.6960,-73.87,-87.14,,0.0,0.0,Normal
0.7000,20.97,-19.72,,0.0,0.0,Normal
0.7040,34.93,55.02,,0.0,0.0,Normal
0.7080,-55.08,-84.10,,0.0,0.0,Normal
0.7120,-29.20,-44.64,,0.0,0.0,Normal
0.7160,67.65,112.64,,0.0,0.0,Normal
0.7200,50.79,20.84,,0.0,0.0,Normal
0.7240,-56.01,-83.81,,0.0,0.0,Normal
0.7280,-74.37,-24.16,,0.0,0.0,Normal
0.7320,35.87,38.45,,0.0,0.0,Normal
0.7360,63.50,26.13,,0.0,0.0,Normal
0.7400,-28.41,1.08,,0.0,0.0,Normal
0.7440,-30.63,1.11,,0.0,0.0,Normal
0.7480,25.71,-50.91,,0.0,0.0,Normal
0.7520,10.39,-43.42,,0.0,0.0,Normal
0.7560,-21.99,58.07,,0.0,0.0,Normal
0.7600,-20.48,-1.19,,0.0,0.0,Normal
0.7640,12.18,-65.33,,0.0,0.0,Normal
0.7680,41.07,57.90,,0.0,0.0,Normal
0.7720,21.52,70.36,,0.0,0.0,Normal
0.7760,-10.02,-32.20,,0.0,0.0,Normal
0.7800,-21.50,-38.53,,0.0,0.0,Normal
0.7840,-30.93,-56.96,,0.0,0.0,Normal
0.7880,-22.89,-76.03,,0.0,0.0,Normal
0.7920,8.13,3.58,,0.0,0.0,Normal
0.7960,4.99,54.74,,0.0,0.0,Normal
0.8000,-28.38,3.30,,0.0,0.0,Normal
0.8040,-22.95,-69.40,,0.0,0.0,Normal
0.8080,4.67,-57.10,,0.0,0.0,Normal
0.8120,19.80,5.03,,0.0,0.0,Normal
0.8160,28.06,36.06,,0.0,0.0,Normal
0.8200,16.15,70.64,,0.0,0.0,Normal
0.8240,1.95,32.05,,0.0,0.0,Normal
0.8280,-19.43,-83.90,,0.0,0.0,Normal
0.8320,-66.70,-90.57,,0.0,0.0,Normal
0.8360,-40.86,-4.85,,0.0,0.0,Normal
0.8400,68.09,66.19,,0.0,0.0,Normal
0.8440,80.29,71.70,,0.0,0.0,Normal
0.8480,-33.97,-57.03,,0.0,0.0,Normal
0.8520,-84.31,-143.97,,0.0,0.0,Normal
0.8560,-6.99,7.44,,0.0,0.0,Normal
0.8600,35.67,118.12,,0.0,0.0,Normal
0.8640,-13.72,-15.66,,0.0,0.0,Normal
0.8680,-20.73,-80.73,,0.0,0.0,Normal
0.8720,27.48,11.32,,0.0,0.0,Normal
0.8760,12.15,-28.67,,0.0,0.0,Normal
0.8800,-48.86,-128.18,,0.0,0.0,Normal
0.8840,-37.90,-17.28,,0.0,0.0,Normal
0.8880,21.40,126.30,,0.0,0.0,Normal
