# SampleRate: 250
# Created: 2026-06-09T14:41:12
Time,CH1,CH2,Marker,Valence,Arousal,TaskLabel
0.0000,-3.89,-3.02,,0.0,0.0,Normal
0.0040,-2.68,-0.77,,0.0,0.0,Normal
0.0080,-2.98,2.02,,0.0,0.0,Normal
0.0120,-1.98,0.45,,0.0,0.0,Normal
0.0160,1.45,-2.17,,0.0,0.0,Normal
0.0200,2.30,-2.60,,0.0,0.0,Normal
0.0240,-0.62,-2.47,,0.0,0.0,Normal
0.0280,-2.17,-1.17,,0.0,0.0,Normal
0.0320,0.34,-1.11,,0.0,0.0,Normal
0.0360,3.28,-2.15,,0.0,0.0,Normal
0.0400,4.38,-0.52,,0.0,0.0,Normal
0.0440,4.54,3.14,,0.0,0.0,Normal
0.0480,4.40,5.05,,0.0,0.0,Normal
0.0520,6.10,3.17,,0.0,0.0,Normal
0.0560,8.17,2.34,,0.0,0.0,Normal
0.0600,6.93,3.14,,0.0,0.0,Normal
0.0640,5.56,3.61,,0.0,0.0,Normal
0.0680,7.60,6.62,,0.0,0.0,Normal
0.0720,9.94,7.37,,0.0,0.0,Normal
0.0760,9.61,3.96,,0.0,0.0,Normal
0.0800,8.41,2.56,,0.0,0.0,Normal
0.0840,7.14,4.22,,0.0,0.0,Normal
0.0880,5.05,6.53,,0.0,0.0,Normal
0.0920,4.52,5.92,,0.0,0.0,Normal
0.0960,5.43,4.31,,0.0,0.0,Normal
0.1000,5.48,5.40,,0.0,0.0,Normal
0.1040,5.65,7.33,,0.0,0.0,Normal
0.1080,7.34,8.80,,0.0,0.0,Normal
0.1120,10.09,8.10,,0.0,0.0,Normal
0.1160,11.93,5.98,,0.0,0.0,Normal
0.1200,11.87,5.47,,0.0,0.0,Normal
0.1240,10.12,6.83,,0.0,0.0,Normal
0.1280,7.87,8.45,,0.0,0.0,Normal
0.1320,8.74,7.16,,0.0,0.0,Normal
0.1360,11.28,4.85,,0.0,0.0,Normal
0.1400,10.60,4.35,,0.0,0.0,Normal
0.1440,8.47,4.47,,0.0,0.0,Normal
0.1480,7.87,4.95,,0.0,0.0,Normal
0.1520,8.44,4.50,,0.0,0.0,Normal
0.1560,10.61,4.43,,0.0,0.0,Normal
0.1600,13.56,5.87,,0.0,0.0,Normal
0.1640,12.52,6.17,,0.0,0.0,Normal
0.1680,8.17,4.45,,0.0,0.0,Normal
0.1720,8.64,1.57,,0.0,0.0,Normal
0.1760,13.15,1.16,,0.0,0.0,Normal
0.1800,14.51,3.29,,0.0,0.0,Normal
0.1840,13.13,4.46,,0.0,0.0,Normal
0.1880,12.02,4.83,,0.0,0.0,Normal
0.1920,11.81,3.27,,0.0,0.0,Normal
0.1960,11.94,1.12,,0.0,0.0,Normal
0.2000,11.16,0.32,,0.0,0.0,Normal
0.2040,8.98,0.04,,0.0,0.0,Normal
0.2080,7.02,0.83,,0.0,0.0,Normal
0.2120,7.47,-0.36,,0.0,0.0,Normal
0.2160,8.31,-3.06,,0.0,0.0,Normal
0.2200,7.38,-3.29,,0.0,0.0,Normal
0.2240,6.30,-2.03,,0.0,0.0,Normal
0.2280,7.04,0.54,,0.0,0.0,Normal
0.2320,9.83,2.40,,0.0,0.0,Normal
0.2360,11.18,2.16,,0.0,0.0,Normal
0.2400,10.15,2.70,,0.0,0.0,Normal
0.2440,9.47,4.71,,0.0,0.0,Normal
0.2480,8.41,6.28,,0.0,0.0,Normal
0.2520,7.14,4.73,,0.0,0.0,Normal
0.2560,6.53,1.63,,0.0,0.0,Normal
0.2600,4.98,0.24,,0.0,0.0,Normal
0.2640,2.64,0.55,,0.0,0.0,Normal
0.2680,1.77,0.66,,0.0,0.0,Normal
0.2720,3.40,-2.30,,0.0,0.0,Normal
0.2760,5.16,-5.61,,0.0,0.0,Normal
0.2800,4.88,-6.13,,0.0,0.0,Normal
0.2840,2.53,-6.09,,0.0,0.0,Normal
0.2880,-0.23,-6.13,,0.0,0.0,Normal
0.2920,-0.07,-6.37,,0.0,0.0,Normal
0.2960,2.02,-6.78,,0.0,0.0,Normal
0.3000,1.39,-7.14,,0.0,0.0,Normal
0.3040,-2.01,-5.92,,0.0,0.0,Normal
0.3080,-2.65,-2.54,,0.0,0.0,Normal
0.3120,1.11,-2.28,,0.0,0.0,Normal
0.3160,2.63,-5.10,,0.0,0.0,Normal
0.3200,-1.48,-6.00,,0.0,0.0,Normal
0.3240,-6.15,-4.97,,0.0,0.0,Normal
0.3280,-7.34,-4.12,,0.0,0.0,Normal
0.3320,-7.50,-4.41,,0.0,0.0,Normal
0.3360,-8.64,-3.90,,0.0,0.0,Normal
0.3400,-7.53,-2.23,,0.0,0.0,Normal
0.3440,-5.97,-0.46,,0.0,0.0,Normal
0.3480,-7.95,1.18,,0.0,0.0,Normal
0.3520,-7.86,0.13,,0.0,0.0,Normal
